Word ,Frequency
black,628
people,471
can,457
will,434
new,346
today,346
equity,314
work,297
now,282
need,272
day,271
public,253
time,253
covid,245
transportation,236
year,230
white,229
health,213
community,202
city,201
first,199
join,197
know,191
many,191
great,181
housing,174
state,169
it<e2>s,168
bike,165
justice,165
want,164
power,163
help,151
good,150
make,147
support,147
years,147
also,145
thank,145
racial,141
transit,140
every,138
love,136
way,134
women,132
much,131
still,131
part,130
policy,130
really,130
next,128
read,128
racism,127
police,126
life,124
week,123
please,122
communities,121
share,121
american,117
right,117
history,116
conversation,115
via,115
must,114
thanks,114
cities,113
going,113
live,110
don,109
folks,108
andreperryedu,106
i<e2>m,104
change,103
check,103
planning,103
always,102
two,102
use,102
real,101
important,100
say,99
back,98
last,98
never,98
place,98
made,96
think,96
urban,96
even,94
learn,94
students,94
better,93
free,93
amazing,91
don<e2>t,91
safe,90
school,89
texas,89
without,89
excited,88
keep,88
take,88
working,88
happy,86
president,86
talk,86
everyone,85
federal,85
mobility,85
pandemic,84
leaders,83
access,81
looking,81
streets,81
we<e2>re,81
end,80
series,80
system,79
biden,78
house,78
americans,77
blackhistorymonth,77
call,77
family,77
home,77
forward,76
news,76
open,74
around,73
ever,73
climate,72
national,72
needs,72
safety,72
making,71
another,70
come,70
equitable,70
equiticity,70
plan,70
register,70
social,70
space,70
dralethamaybank,69
panel,69
start,69
virtual,69
act,68
arrestedmobility,68
lives,67
together,67
world,67
look,66
old,66
thing,66
tomorrow,66
future,65
getting,65
race,65
team,65
workers,65
country,64
education,64
hear,64
since,64
anti,63
discuss,63
discussion,63
may,63
best,62
something,62
street,62
summit,61
traffic,61
trump,61
america,60
days,60
drkmp,60
enough,60
full,60
give,60
program,60
rights,60
said,60
hope,59
morning,59
times,59
watch,59
across,58
brown,58
find,58
food,58
including,58
smartgrowthceo,58
stay,58
well,58
government,57
moment,57
month,57
schools,57
service,57
someone,57
stop,57
chicago,56
director,56
drdestheplanner,56
environmental,56
experience,56
impact,56
infrastructure,56
office,56
often,56
opportunity,56
baltimore,55
crisis,55
event,55
friends,55
local,55
million,55
states,55
story,55
research,54
vote,54
building,53
honor,53
lot,53
movement,53
others,53
political,53
proud,53
student,53
vaccine,53
action,52
article,52
big,52
bill,52
build,52
can<e2>t,52
capitol,52
funding,52
group,52
leadership,52
let<e2>s,52
parking,52
post,52
project,52
talking,52
design,51
especially,51
feel,51
person,51
report,51
sharing,51
administration,50
away,50
coming,50
friend,50
little,50
needed,50
provide,50
quote,50
smartgrowthusa,50
care,49
county,49
development,49
less,49
violence,49
based,48
book,48
issue,48
left,48
man,48
neighborhood,48
bus,47
center,47
latest,47
law,47
ncstatecnr,47
tonight,47
grateful,46
men,46
move,46
pay,46
racist,46
small,46
spaces,46
special,46
sure,46
ways,46
woman,46
money,45
past,45
role,45
thread,45
beyond,44
cnn,44
continue,44
data,44
economic,44
hard,44
living,44
maryland,44
mayor,44
members,44
senate,44
words,44
believe,43
cars,43
color,43
high,43
honored,43
kids,43
ready,43
show,43
supremacy,43
systems,43
three,43
using,43
washington,43
already,42
ask,42
committee,42
essential,42
families,42
ideas,42
remember,42
saying,42
wealth,42
giving,41
online,41
ooneepod,41
piece,41
projects,41
truth,41
trying,41
water,41
address,40
ago,40
bikes,40
california,40
enforcement,40
information,40
joy,40
miss,40
places,40
point,40
reparations,40
residents,40
used,40
available,39
board,39
breaking,39
business,39
congratulations,39
early,39
i<e2>ll,39
line,39
matter,39
name,39
scholars,39
asked,38
car,38
class,38
done,38
episode,38
feb,38
johnshopkinssph,38
labor,38
link,38
relief,38
understand,38
yet,38
approach,37
civil,37
everything,37
follow,37
following,37
historic,37
jan,37
mean,37
passed,37
resources,37
session,37
speak,37
theycallmeoboi,37
walking,37
yes,37
able,36
age,36
anyone,36
bring,36
clear,36
close,36
current,36
deal,36
income,36
issues,36
i<e2>ve,36
job,36
land,36
list,36
parks,36
problem,36
questions,36
smartgrowthequity,36
thought,36
video,36
voting,36
course,35
death,35
department,35
election,35
forget,35
lead,35
literally,35
means,35
play,35
response,35
rkbtwo,35
started,35
united,35
university,35
veronicaodavis,35
caltrans,34
colleagues,34
congrats,34
despite,34
jobs,34
meeting,34
mslynnross,34
oakland,34
order,34
serve,34
sign,34
step,34
supporting,34
truly,34
actually,33
bad,33
built,33
businesses,33
campaign,33
february,33
lack,33
major,33
policing,33
possible,33
question,33
staff,33
took,33
trust,33
called,32
culture,32
friday,32
happen,32
happening,32
impacts,32
king,32
listen,32
member,32
north,32
powerful,32
snow,32
solutions,32
taking,32
that<e2>s,32
TRUE,32
youth,32
african,31
creating,31
democracy,31
didn,31
energy,31
events,31
gets,31
goal,31
highway,31
key,31
might,31
neighborhoods,31
pass,31
process,31
red,31
secretary,31
south,31
weeks,31
young,31
area,30
bethosborneta,30
challenges,30
congress,30
docdantzler,30
leading,30
leave,30
lost,30
ppl,30
priority,30
set,30
storm,30
t<e2><U+00A6>,30
went,30
within,30
y<e2>all,30
asking,29
camarajones,29
celebrate,29
college,29
district,29
due,29
face,29
faculty,29
fellow,29
four,29
hours,29
incredible,29
isn<e2>t,29
led,29
low,29
night,29
nyc,29
partnership,29
professor,29
reminder,29
spent,29
stories,29
structural,29
study,29
systemic,29
thoughts,29
trbam,29
weather,29
webinar,29
winter,29
along,28
charleston,28
children,28
conference,28
detroit,28
estate,28
fact,28
fight,28
former,28
houston,28
industry,28
legacy,28
makes,28
moving,28
party,28
registration,28
services,28
speaking,28
thinking,28
thursday,28
twitter,28
vaccines,28
voices,28
wants,28
won,28
<U+00A5><f0><ff>,28
affordable,27
almost,27
a<e2><U+00A6>,27
die,27
doesn,27
economy,27
est,27
funds,27
groups,27
idea,27
instead,27
missed,27
poc,27
politics,27
recent,27
wanted,27
we<e2>ve,27
whole,27
win,27
yesterday,27
become,26
bikenyc,26
budget,26
create,26
donate,26
heard,26
hold,26
landscape,26
leader,26
market,26
mind,26
nation,26
nearly,26
official,26
podcast,26
policies,26
run,26
running,26
tune,26
tweet,26
wait,26
biking,25
bipoc,25
critical,25
democrats,25
different,25
driving,25
example,25
focus,25
head,25
highlight,25
hit,25
info,25
isn,25
kcmo,25
keynote,25
learning,25
level,25
mental,25
non,25
nothing,25
number,25
pedestrian,25
practice,25
ride,25
second,25
seen,25
senator,25
single,25
steps,25
there<e2>s,25
turn,25
watching,25
york,25
assembly,24
caltranshq,24
case,24
decades,24
didn<e2>t,24
disparities,24
father,24
found,24
gov,24
green,24
grid,24
guest,24
harm,24
improve,24
include,24
joebiden,24
later,24
mdga,24
medicine,24
necessary,24
private,24
protect,24
recovery,24
road,24
science,24
shared,24
side,24
stand,24
starting,24
strategies,24
strong,24
vice,24
visit,24
voice,24
walk,24
aren<e2>t,23
behind,23
calls,23
continues,23
credit,23
debt,23
discussing,23
door,23
ensure,23
environment,23
favorite,23
finally,23
fund,23
housingplaybook,23
hprscholars,23
imagine,23
inclusive,23
indigenous,23
march,23
months,23
ncstate,23
playbook,23
programs,23
reform,23
related,23
rent,23
rest,23
roads,23
shows,23
site,23
statement,23
term,23
town,23
update,23
word,23
you<e2>re,23
absolutely,22
active,22
amermedicalassn,22
anything,22
assistant,22
begin,22
blm,22
books,22
came,22
cause,22
chief,22
comes,22
consider,22
context,22
deep,22
deputy,22
doesn<e2>t,22
engagement,22
executive,22
experts,22
featuring,22
gop,22
harris,22
human,22
interested,22
listening,22
looks,22
medical,22
met,22
note,22
park,22
reading,22
station,22
survey,22
teaching,22
thrilled,22
told,22
vaccination,22
value,22
voted,22
website,22
worth,22
writing,22
youtube,22
<f0><ff><U+009A><U+00A8>,22
advance,21
advocacy,21
advocate,21
ahead,21
announce,21
answer,21
brought,21
challenge,21
challenging,21
changing,21
colleague,21
cycling,21
democratic,21
details,21
died,21
drive,21
emotional,21
failed,21
higher,21
hour,21
inauguration,21
innovation,21
insurrection,21
kind,21
lanes,21
likely,21
lincoln,21
loss,21
mask,21
media,21
officials,21
ownership,21
peace,21
schmangee,21
self,21
senators,21
shabazzstuart,21
source,21
spoke,21
studies,21
super,21
to<e2><U+00A6>,21
works,21
wrote,21
apply,20
atlurbanist,20
bicycle,20
bills,20
bringing,20
church,20
commitment,20
completestreets,20
direct,20
disabled,20
diversity,20
drop,20
edwards,20
efforts,20
entire,20
excellent,20
feeling,20
force,20
form,20
fun,20
gentrification,20
half,20
healthequity,20
hearing,20
hey,20
inequities,20
initiative,20
jaypitter,20
john,20
latino,20
matters,20
meet,20
monday,20
officer,20
page,20
paid,20
partners,20
passing,20
personal,20
picture,20
poverty,20
reason,20
reduce,20
safely,20
seeing,20
segregation,20
shout,20
stanley,20
starts,20
symposium,20
testing,20
top,20
weekend,20
allow,19
associate,19
brookingsinst,19
calling,19
chair,19
child,19
cityfoodlover,19
coronavirus,19
council,19
cyclists,19
dad,19
deaths,19
drcelestechavis,19
easy,19
else,19
encourage,19
etc,19
exciting,19
experiences,19
fighting,19
forum,19
game,19
growing,19
haven,19
highways,19
hosting,19
huge,19
inaugural,19
inclusion,19
interview,19
jgmoore,19
joe,19
kamalaharris,19
killed,19
legislation,19
majority,19
martin,19
message,19
native,19
outside,19
perry,19
planners,19
property,19
republicans,19
round,19
save,19
season,19
security,19
smart,19
solve,19
speaker,19
spend,19
takes,19
trauma,19
usdot,19
what<e2>s,19
zoom,19
academic,18
activity,18
advice,18
afternoon,18
among,18
asian,18
austin,18
bikeschool,18
capital,18
career,18
choice,18
contact,18
criminal,18
cruz,18
dcstatehood,18
definitely,18
disaster,18
drivers,18
evidence,18
financial,18
five,18
focused,18
given,18
helped,18
helping,18
historical,18
holding,18
hosted,18
inequity,18
inspiring,18
kansas,18
knew,18
landlords,18
lane,18
least,18
middle,18
njdc,18
noon,18
opened,18
physical,18
population,18
position,18
press,18
raise,18
reopen,18
route,18
secure,18
serving,18
sidewalk,18
standing,18
summer,18
sustainable,18
the<e2><U+00A6>,18
urbanism,18
vision,18
voitechnology,18
whiteness,18
advocates,17
antiracism,17
applications,17
appreciate,17
arrested,17
blackness,17
bridge,17
brilliant,17
chance,17
changes,17
cultural,17
date,17
effects,17
either,17
elected,17
emergency,17
everyday,17
final,17
founder,17
front,17
gender,17
glad,17
goes,17
grant,17
however,17
individuals,17
inequality,17
institutions,17
journey,17
june,17
lived,17
maybe,17
mlk,17
nice,17
officers,17
okc,17
prioritizing,17
progress,17
promote,17
protected,17
quality,17
quick,17
regarding,17
saw,17
scholarship,17
sense,17
short,17
simply,17
slow,17
society,17
spending,17
streetsblogchi,17
subway,17
talks,17
tax,17
trial,17
tucci,17
unurbanist,17
upcoming,17
values,17
won<e2>t,17
<e2><U+00A4><ef><U+00B8>,17
according,16
aid,16
amendments,16
annual,16
artists,16
attention,16
beautiful,16
central,16
chat,16
commission,16
committed,16
comprehensive,16
cost,16
cover,16
created,16
dec,16
designed,16
electricity,16
fast,16
feels,16
felt,16
field,16
freedom,16
girl,16
global,16
happens,16
haven<e2>t,16
ice,16
images,16
intersection,16
late,16
loved,16
luther,16
mass,16
miles,16
millions,16
nacto,16
neighbors,16
opportunities,16
paresearchcntr,16
partner,16
pedestrians,16
price,16
problems,16
professional,16
push,16
quite,16
recognize,16
recommendations,16
region,16
rides,16
risk,16
room,16
salute,16
saturday,16
shape,16
shares,16
signed,16
sometimes,16
soul,16
speakers,16
ted,16
today<e2>s,16
tough,16
transportationhistory,16
tuesday,16
understanding,16
vulnerable,16
we<e2>ll,16
winning,16
write,16
agency,15
agree,15
articles,15
assassinated,15
association,15
attack,15
award,15
birthday,15
blacklivesmatter,15
cases,15
caucus,15
celebrating,15
chooek,15
common,15
cut,15
damage,15
dangerous,15
deeply,15
directly,15
diverse,15
drrcezike,15
eligible,15
email,15
equality,15
evening,15
expected,15
explore,15
fbi,15
features,15
filibuster,15
gap,15
general,15
generation,15
george,15
georgia,15
gone,15
grants,15
greatest,15
hands,15
heart,15
heat,15
here<e2>s,15
homes,15
https<e2><U+00A6>,15
icymi,15
inspired,15
institute,15
jim,15
joining,15
knows,15
leaving,15
metro,15
military,15
mother,15
music,15
network,15
offer,15
owned,15
parents,15
phd,15
photo,15
playing,15
priorities,15
prioritize,15
providing,15
rate,15
rather,15
received,15
record,15
seminar,15
send,15
simple,15
soon,15
spread,15
sunday,15
tells,15
terms,15
threat,15
travel,15
try,15
ucheblackstock,15
welcome,15
worked,15
yrs,15
accountability,14
achieve,14
advancing,14
alone,14
analysis,14
app,14
areas,14
atlanta,14
awesome,14
benefits,14
block,14
box,14
break,14
buy,14
cagovernor,14
certain,14
changed,14
clean,14
cold,14
complete,14
cops,14
court,14
crews,14
crises,14
daily,14
decade,14
decision,14
demand,14
difficult,14
discrimination,14
doccrearperry,14
effort,14
evictions,14
expand,14
featured,14
forever,14
gave,14
he<e2>s,14
hiring,14
homeisessential,14
host,14
improving,14
injustice,14
jaywalking,14
light,14
loans,14
management,14
mary,14
michigan,14
moderated,14
nature,14
near,14
okay,14
paper,14
phenomenal,14
proposed,14
protest,14
publichealthpod,14
raised,14
recently,14
